35.6871045808,-83.3970631236,673.347167969
35.6871627818,-83.3970722236,673.399597168
35.6872214808,-83.3970777236,673.063415527
35.6873116809,-83.3970756236,672.265625
35.6874018819,-83.3970720237,671.879333496
35.6874916819,-83.3970820237,670.727050781
35.6875817819,-83.3970885237,667.70501709
35.6876454799,-83.3970824237,665.741516113
35.6877083799,-83.3970702237,665.991394043
lat,lng,ele
